id,name,status,net,window_start,window_end,is_crewed,rocket_name,rocket_full_name,rocket_manufacturer,provider,mission_type,orbit,pad_name,location_name,location_country
5ebb7b50-eda8-45f4-9d42-e6888d585b08,Blue Scout Jr | O-1,Launch Successful,1961-08-17T14:29:00Z,1961-08-17T14:29:00Z,1961-08-17T14:29:00Z,,Blue Scout Jr,Blue Scout Jr,Vought,United States Air Force,Earth Science,Suborbital,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",
0590523c-4b00-445a-bdb7-2970f04c24ce,Atlas LV-3A | Ranger 1,Launch was a Partial Failure,1961-08-23T10:04:10Z,1961-08-23T10:04:10Z,1961-08-23T10:04:10Z,,Atlas Agena B,Atlas LV-3 Agena B,United States Air Force,United States Air Force,,,Launch Complex 12,"Cape Canaveral SFS, FL, USA",
eac7f345-ba58-4629-8757-aca1d081a6fb,Scout X-1 | Explorer 13,Launch Failure,1961-08-25T18:29:44Z,1961-08-25T18:29:44Z,1961-08-25T18:29:44Z,,Scout X-1,Scout X-1,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,,Launch Area 3,"Wallops Flight Facility, Virginia, USA",
46c862f7-5b92-48bc-94ce-54615630154b,Thor DM-21 Agena-B | Discoverer 29,Launch Successful,1961-08-30T20:00:00Z,1961-08-30T20:00:00Z,1961-08-30T20:00:00Z,,Thor DM-21 Agena-B,Thor DM-21 Agena-B,United States Air Force,United States Air Force,,,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",
f8025d66-a0eb-469d-936f-5d8b9d49baee,Atlas LV-3A | Samos 3,Launch Failure,1961-09-09T19:28:27Z,1961-09-09T19:28:27Z,1961-09-09T19:28:27Z,,Atlas Agena B,Atlas LV-3 Agena B,United States Air Force,United States Air Force,,,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",
586f5567-b303-44a3-9ccf-bf9d582d91c3,Thor DM-21 Agena-B | Discoverer 30,Launch Successful,1961-09-12T19:59:00Z,1961-09-12T19:59:00Z,1961-09-12T19:59:00Z,,Thor DM-21 Agena-B,Thor DM-21 Agena-B,United States Air Force,United States Air Force,,,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",
c65cb588-b553-4cdd-a9ce-ba7878d45495,Atlas LV-3B | Mercury-Atlas 4,Launch Successful,1961-09-13T14:04:16Z,1961-09-13T14:04:16Z,1961-09-13T14:04:16Z,,Atlas LV-3B,Atlas LV-3B,National Aeronautics and Space Administration,National Aeronautics and Space Administration,Test Flight,Low Earth Orbit,Space Launch Complex 14,"Cape Canaveral SFS, FL, USA",
2c9a3d0b-55b8-4900-9082-fe61b08034d1,Thor DM-21 Agena-B | Discoverer 31,Launch Successful,1961-09-17T21:00:00Z,1961-09-17T21:00:00Z,1961-09-17T21:00:00Z,,Thor DM-21 Agena-B,Thor DM-21 Agena-B,United States Air Force,United States Air Force,,,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",
b5d2389b-8dba-40be-b5ac-8acb316d5518,Thor DM-21 Agena-B | Discoverer 32,Launch Successful,1961-10-13T19:22:00Z,1961-10-13T19:22:00Z,1961-10-13T19:22:00Z,,Thor DM-21 Agena-B,Thor DM-21 Agena-B,United States Air Force,United States Air Force,,,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",
1e00999b-1a44-43c8-a636-2c98ff6b0d3d,Scout X-1 | P-21,Launch Successful,1961-10-19T17:38:00Z,1961-10-19T17:38:00Z,1961-10-19T17:38:00Z,,Scout X-1,Scout X-1,National Aeronautics and Space Administration,National Aeronautics and Space Administration,Earth Science,Suborbital,Launch Area 3,"Wallops Flight Facility, Virginia, USA",
ca8c7e27-d18a-4caf-ae73-6cf4bda73171,Atlas LV-3A | MIDAS 4 & Westford-1,Launch Successful,1961-10-21T13:53:03Z,1961-10-21T13:53:03Z,1961-10-21T13:53:03Z,,Atlas Agena B,Atlas LV-3 Agena B,United States Air Force,United States Air Force,,,Space Launch Complex 3E,"Vandenberg SFB, CA, USA",
da1cbbc4-dbda-40c7-8868-734ff8dcb157,Thor DM-21 Agena-B | Discoverer 33,Launch Failure,1961-10-23T19:23:00Z,1961-10-23T19:23:00Z,1961-10-23T19:23:00Z,,Thor DM-21 Agena-B,Thor DM-21 Agena-B,United States Air Force,United States Air Force,,,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",
5aff8c15-abef-45a5-bab0-567e829cd97d,Saturn I | Saturn SA-1,Launch Successful,1961-10-27T15:06:04Z,1961-10-27T15:06:04Z,1961-10-27T15:06:04Z,,Saturn I,Saturn I,Chrysler,National Aeronautics and Space Administration,Test Flight,Suborbital,Launch Complex 34,"Cape Canaveral SFS, FL, USA",
